# Comments start with a hashtag because of how CSV is read,"<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,,thriv.life/LINK,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>"
Resource,Hotline Phone/Text,Resource Description,Keywords,Region/Language,ShortLink,Website
Liberating Jasper,,Resource with weekly virtual eating disorder support groups for queer and BIPOC people at sliding scale cost ($5 - $20).,"LGBTQ, mental health, Black, Indigenous, PoC, disordered eating",,thriv.life/Lib-Jasper,https://www.liberatingjasper.com/offerings
Lifeline for Vets,"<a href=""tel:+1888-777-4443"">1.888.777.4443</a>",Provides a vet-to-vet helpline for veterans and their families.,"hotline, veteran",,thriv.life/VetLL,https://nvf.org/lifeline-for-vets/
Living With Change,,"A moderated, virtual support group for transgender teens (ages 13-19).","under 18, LGBTQ, gender identity, support",,thriv.life/LWC,http://livingwithchange.org/virtual-support-group/
Living with Dissociative Identity Disorder,,A private facebook support group for people with DID / OSDD (diagnosed or not) tht is LGBTQ+ friendly and has a body age limit of 18 or older.,"mental health, coping, LGBTQ",,thriv.life/LwDID-FB,https://www.facebook.com/groups/LivingWithDID/
LGBT Centers Directory,,A directory of LGBT community centers within CenterLink.,LGBTQ,,thriv.life/LGBT-Direct,https://www.lgbtcenters.org/LGBTCenters
LGBT Youth Line,"<a href=""tel:+1800-268-9688"">1.800.268.9688</a> or  text <a href=""sms:6476944275&body=Hello"">647.694.4275</a>","Youth Line provides service for youth, by youth that affirms the experiences and aspirations of lesbian, gay, bisexual, transsexual, transgender, 2-spirited, queer and questioning youth in Ontario. Call Su-Fr 6pm-9pm ET. Text Su-Fr 4pm-9:30pm ET. Online chat Su-Fr 4pm-9:30pm.","under 18, hotline, LGBTQ, gender identity",Canada,thriv.life/YouthLine,https://www.youthline.ca/
LGBTQ+ Dog Snobs,,"A Facebook group for LGBTQ+ dog lovers to chat, rant, and commiserate. Supportive place for those mourning the loss of a dog.","LGBTQ, grief",,thriv.life/LGBT-Dogs-FB,https://www.facebook.com/groups/793845668030145
LGBTQ+ Healthcare Directory,,"A free, searchable database for LGBTQ+-affirming healthcare providers who opted into being part of the directory.","LGBTQ, gender identity, health, providers",,thriv.life/LGBTQ-HC,https://lgbtqhealthcaredirectory.org/
LGBTQ Books to Prisoners,,"Donation-funded, volunteer-run organization based in Madison, WI that sends books and other educational materials, free of charge, to incarcerated LGBTQ people across the United States.",LGBTQ,,thriv.life/B2P,https://lgbtbookstoprisoners.org/
LGBTQ Grief Loss Support,,"A Facebook group for people to grieve,  share the loss of someone they love, and hopefully find some support. The group is focused mainly on the passing of a loved one.","LGBTQ, grief",,thriv.life/LGBTQ-Grief,https://www.facebook.com/groups/LGBTgriefsupport/about/
LL - Updating and Amending School Records,,"An FAQ on how FERPA requires schools to keep accurate records, enabling transgender students to update their information after a legal name/gender marker change, even after graduated.","LGBTQ, gender identity, legal",,thriv.life/LL-SchoolRecords,https://www.lambdalegal.org/know-your-rights/article/youth-ferpa-faq
Loosid App,,"Loosid is an app (Android and iOS) for community-building among sober people, and for support with sobriety.","mental health, app",,thriv.life/Loosid,https://loosidapp.com/
Love Is Respect,"<a href=""tel:+1866-331-9474"">1.866.331.9474</a> or TTY <a href=""tel:+1800-787-3224"">1.800.787.3224</a> or text LOVEIS to <a href=""sms:+18663319474&body=LOVEIS"">1.866.331.9474</a>",Hotline and website for information and resources on teen and young adult relationship violence and abuse. They have resources pertaining to Title IX violations.,"abuse, hotline",,thriv.life/LoveIsRespect,https://www.loveisrespect.org/
Loveland Therapy Fund,,Provides financial assistance to Black women and girls seeking therapy nationally.,"Black, mental health, funding",,thriv.life/Loveland,https://thelovelandfoundation.org/therapy-fund/
MA Hotline,"<a href=""tel:+1833-246-2632"">1.833.246.2632</a>",A hotline for people looking for support self-manage a miscarriage or abortion.,"hotline, health",,thriv.life/MAHotline,https://www.mahotline.org/
Mad Liberation Media Spreadsheet,,"This is a communal collection of media (including books, podcasts, videos, etc.) about Madness, Mad Liberation, carceral sanism, etc via a spreadsheet","education, general",,,https://docs.google.com/spreadsheets/d/1Jf8sKBS1M2vGgAkcX3Aocncc-3aBkQh8aoeoppdMBpo/htmlview#
Making Informed Choices When Planning a Funeral,,A PDF guide about end-of-life planning aimed at queer people in the UK.,"LGBTQ, gender identity, grief, end-of-life, legal",UK,thriv.life/PlanFuneralUK,https://www.goodfuneralguide.co.uk/wp-content/uploads/2019/09/Standard-PDF-queer-funeral-guide.pdf
Managing Distress After a Shooting,,Tips for coping after being affected by a mass shooting.,mental health,,thriv.life/MassShooting,https://www.apa.org/topics/mass-shooting
MannMukti,,"An online community and podcast that aims to destigmatize South Asian mental health issues, improve awareness, and promote self-care.","AAPI, mental health, education",,thriv.life/MannMukti,https://www.mannmukti.org/
Many Voices,,A Black church movement for gay and transgender justice. Some of their resources include blessings and affirming rituals.,"Black, LGBTQ, religion",,thriv.life/ManyVoices,https://www.manyvoices.org/about/
Map of All US Informed Consent Clinics,,A crowd-sourced map of all the US clinics offering informed consent for hormone replacement therapy (HRT).,"LGBTQ, gender identity, health",,thriv.life/US-IC-Map,https://www.google.com/maps/d/viewer?mid=1DxyOTw8dI8n96BHFF2JVUMK7bXsRKtzA&ll=32.923285016608446%2C-96.93652308423873&z=10
Mapping Your Sexuality Zine,,A zine written in an accessible and engaging way to help people in understanding their sexual orientation (and how it relates to gender things) with questions to ponder.,"LGBTQ, gender identity, education",,thriv.life/MYSZine,https://static1.squarespace.com/static/5e129bef7d960112ec58214f/t/5e2b7fce5a4a6b7ebe21b6cb/1579909086781/mappingyoursexuality.pdf
Mathway,,"A web-based math assistance program created by Chegg. Offers support for pre-algebra through calculus, statistics, and linear algebra.","STEMM, education",,thriv.life/Mathway,https://www.mathway.com/
Medisafe App,,Pill reminder app for both Android and iOS. The app can also warn about potential drug interactions and give refill reminders. The paid version removes banner ads.,"health, app",,thriv.life/Medisafe,https://www.medisafeapp.com/
MentalHealth.gov,,A government-run site that provides information and resources about mental health to promote awareness on such topics.,mental health,,thriv.life/MHGov,https://www.mentalhealth.gov/
Mental Health America,,A nonprofit that promotes mental health and addresses the needs of those living with mental illness as well as providing resources for mental health and public policy and legislations on mental health.,"mental health, education",,thriv.life/MHA,https://www.mhanational.org/
Mental Health and Addiction Insurance Help,,A tool provided by the U.S. Department of Health and Human Services that will help answer questions about insurance coverage for mental health care.,mental health,,thriv.life/HHS-MHA,https://www.hhs.gov/programs/topic-sites/mental-health-parity/mental-health-and-addiction-insurance-help/index.html
Mental Health in Physics,,Mental health resources and a peer support network for the physics community.,"academia, mental health, education",,,https://www.andreajwelsh.com/mental-health
Mental Health Liberation,,"A nonprofit supporting access to mental health support / therapy for BIPOC people, connected to the Inclusive Therapists community. They run a BIPOC therapy fund that goes through cycles of applications.","mental health, Black, Indigenous",,,https://mentalhealthliberation.org/bipoc-therapy-fund/
Mental Wellness Activity Book for Asian Americans,,A self-care workbook that incorporates Asian American Studies as a tool for healing.,"AAPI, mental health, coping",,thriv.life/AAMWAB,https://drive.google.com/file/d/1nbiuCwimR5IQ-S6Ls13tEsdeQiawuL42/view
Mermaids UK,"<a href=""tel:+44.80880.10400"">0808.801.0400</a>","Organization supporting transgender, non-binary, and gender-diverse youth in the UK. Their site maintains a resource list about all things gender transition. They have a helpline and webchat on M-F 9a-9p BT. Can also text mermaid to 85258","under 18, hotline, LGBTQ, gender identity",UK,thriv.life/MermaidsUK,https://mermaidsuk.org.uk/
MHA - Talking to Your Parents About Mental Health,,Guidance for overcoming some comment statements that people use to avoid discussing mental health with family members.,"mental health, education",,thriv.life/MHA-Parents,https://www.mhanational.org/time-talk-talking-your-parents
Microsoft Ada Lovelace Fellowship,,"A 3-year fellowship for underrepresented PhD students, explicitly including LGBTQ+ identities.","STEMM, funding",,thriv.life/Microsoft-Fellow,https://www.microsoft.com/en-us/research/academic-program/ada-lovelace-fellowship/
Mind Freedom,,An international organization that has a searchable directory of mental health care providers who have agreed to respect individual preferences for or against using psychiatric medication and uplift autonomy.,"mental health, providers, non-carceral",interational,,https://mindfreedom.org/resources/gateway/mfdb-search-form/
Mind Mental Health,,"An organization with information on different mental health conditions and suggestions for self-care, treatment, and coping.","mental health, education, coping",UK,thriv.life/MindMH,https://www.mind.org.uk/information-support/types-of-mental-health-problems/
MindShift CBT App,,"An app (Android and iOS) that incorporates cognitive behavioral therapy approaches to addressing anxiety. Some features include coping strategies, meditations, and goal setting.","app, coping, mental health",,,https://www.anxietycanada.com/resources/mindshift-cbt/
